stock_code,description,sku_class,avg_monthly_units,current_inventory,inventory_coverage_days,inventory_risk,warehouse_strategy
90016A,SILVER/M.O.P PENDANT ORBIT NECKLACE,Long-Tail,2.4285714285714284,97,1198.2352941176473,Overstock Risk,Overstock Review / Reduce Replenishment
84509g,SET OF 4 FAIRY CAKE PLACEMATS,Long-Tail,2.0,79,1185.0,Overstock Risk,Overstock Review / Reduce Replenishment
90155,RESIN NECKLACE W PASTEL BEADS,Long-Tail,1.8,71,1183.3333333333333,Overstock Risk,Overstock Review / Reduce Replenishment
84963B,BLUE PAINTED KASHMIRI CHAIR,Long-Tail,3.0,117,1170.0,Overstock Risk,Overstock Review / Reduce Replenishment
90036B,"FLOWER GLASS GARLAND NECKL.36""GREEN",Long-Tail,2.0,78,1170.0,Overstock Risk,Overstock Review / Reduce Replenishment
90190B,GOLD/AMBER DROP EARRINGS W LEAF,Long-Tail,1.8571428571428572,72,1163.076923076923,Overstock Risk,Overstock Review / Reduce Replenishment
84773,RED ROSE AND LACE C/COVER,Long-Tail,3.0,116,1160.0,Overstock Risk,Overstock Review / Reduce Replenishment
90079,VINTAGE ENAMEL & CRYSTAL NECKLACE,Long-Tail,2.5,96,1152.0,Overstock Risk,Overstock Review / Reduce Replenishment
90157,RIVIERA NECKLACE,Long-Tail,2.5,96,1152.0,Overstock Risk,Overstock Review / Reduce Replenishment
90037B,TINY CRYSTAL BRACELET GREEN,Long-Tail,2.5,96,1152.0,Overstock Risk,Overstock Review / Reduce Replenishment
23702,HIGH RESOLUTION IMAGE,Long-Tail,2.0,76,1140.0,Overstock Risk,Overstock Review / Reduce Replenishment
22528,GARDENERS KNEELING PAD,Long-Tail,1.0,38,1140.0,Overstock Risk,Overstock Review / Reduce Replenishment
85049c,ROMANTIC PINKS RIBBONS,Long-Tail,1.0,38,1140.0,Overstock Risk,Overstock Review / Reduce Replenishment
90186B,CRYSTAL HOOP EARRING FLORAL LEAF,Long-Tail,2.75,104,1134.5454545454547,Overstock Risk,Overstock Review / Reduce Replenishment
90211B,JET BLACK LAS VEGAS NECKLACE 45CM,Long-Tail,2.25,85,1133.3333333333335,Overstock Risk,Overstock Review / Reduce Replenishment
21344,MOROCCAN BEATEN METAL DISH,Long-Tail,3.0,113,1130.0,Overstock Risk,Overstock Review / Reduce Replenishment
23607,SET 10 CARDS HATS & STOCKINGS 17081,Long-Tail,2.6666666666666665,100,1125.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
72807b,SET/3 OCEAN SCENT CANDLE JEWEL BOX,Long-Tail,1.3333333333333333,50,1125.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
90214V,"LETTER ""V"" BLING KEY RING",Long-Tail,2.6,97,1119.2307692307693,Overstock Risk,Overstock Review / Reduce Replenishment
90024D,NEW BAROQUE B'FLY NECKLACE PINK,Long-Tail,1.0,37,1110.0,Overstock Risk,Overstock Review / Reduce Replenishment
90175C,BLUE GLASS CHUNKY CHARM BRACELET,Long-Tail,2.25,83,1106.6666666666667,Overstock Risk,Overstock Review / Reduce Replenishment
44092B,BLUE WHITE PLASTIC RINGS LAMPSHADE,Long-Tail,2.8,103,1103.5714285714287,Overstock Risk,Overstock Review / Reduce Replenishment
90177B,DROP DIAMANTE EARRINGS BLACK DIAMON,Long-Tail,2.8,103,1103.5714285714287,Overstock Risk,Overstock Review / Reduce Replenishment
84922,PINK BUTTERFLY WASHBAG,Long-Tail,1.8,66,1100.0,Overstock Risk,Overstock Review / Reduce Replenishment
85132a,CHARLIE + LOLA BISCUITS TINS,Long-Tail,2.0,73,1095.0,Overstock Risk,Overstock Review / Reduce Replenishment
21275,ZINC TOP  2 DOOR WOODEN SHELF,Long-Tail,2.1666666666666665,79,1093.846153846154,Overstock Risk,Overstock Review / Reduce Replenishment
90039A,FIRE POLISHED GLASS BRACELET RED,Long-Tail,2.6666666666666665,97,1091.2500000000002,Overstock Risk,Overstock Review / Reduce Replenishment
21364,PEACE SMALL WOOD LETTERS,Long-Tail,3.0,109,1090.0,Overstock Risk,Overstock Review / Reduce Replenishment
35265,COLOURFUL FLOWER FRUIT BOWL,Long-Tail,2.4285714285714284,88,1087.058823529412,Overstock Risk,Overstock Review / Reduce Replenishment
90168,2 DAISIES HAIR COMB,Long-Tail,2.5714285714285716,93,1085.0,Overstock Risk,Overstock Review / Reduce Replenishment
23650,SET 10 CARDS FILIGREE BAUBLE 16961,Long-Tail,1.3333333333333333,48,1080.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
90026C,GLASS BEAD HOOP NECKLACE GREEN,Long-Tail,1.3333333333333333,48,1080.0000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
20670,VIP HOLIDAY PURSE,Long-Tail,1.75,63,1080.0,Overstock Risk,Overstock Review / Reduce Replenishment
84031b,CHARLIE LOLA BLUE HOT WATER BOTTLE,Long-Tail,1.0,36,1080.0,Overstock Risk,Overstock Review / Reduce Replenishment
85031C,CURIOUS IMAGES SCRAP BOOK SET,Long-Tail,3.0,108,1080.0,Overstock Risk,Overstock Review / Reduce Replenishment
90137,PINK COMBO MINI CRYSTALS NECKLACE,Long-Tail,1.0,36,1080.0,Overstock Risk,Overstock Review / Reduce Replenishment
21461,BLUE EASTER EGG HUNT START POST,Long-Tail,3.3333333333333335,119,1071.0,Overstock Risk,Overstock Review / Reduce Replenishment
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,Long-Tail,2.0,71,1065.0,Overstock Risk,Overstock Review / Reduce Replenishment
90011B,BLACK CRYSTAL DROP EARRINGS,Long-Tail,2.0,71,1065.0,Overstock Risk,Overstock Review / Reduce Replenishment
90026A,GLASS BEAD HOOP NECKLACE BLACK,Long-Tail,2.0,71,1065.0,Overstock Risk,Overstock Review / Reduce Replenishment
90039D,FIRE POLISHED GLASS BRACELET GREEN,Long-Tail,2.625,93,1062.857142857143,Overstock Risk,Overstock Review / Reduce Replenishment
90177C,DROP DIAMANTE EARRINGS CRYSTAL,Long-Tail,2.6,92,1061.5384615384614,Overstock Risk,Overstock Review / Reduce Replenishment
37444B,BLUE BREAKFAST CUP AND SAUCER,Long-Tail,1.3333333333333333,47,1057.5000000000002,Overstock Risk,Overstock Review / Reduce Replenishment
90092,BLUE CRYSTAL BOOT PHONE CHARM,Long-Tail,1.0,35,1050.0,Overstock Risk,Overstock Review / Reduce Replenishment
21277,FRENCH STYLE EMBOSSED HEART CABINET,Long-Tail,2.6,91,1050.0,Overstock Risk,Overstock Review / Reduce Replenishment
22016,DOTCOMGIFTSHOP GIFT VOUCHER £100.00,Long-Tail,1.0,35,1050.0,Overstock Risk,Overstock Review / Reduce Replenishment
85014b,RED RETROSPOT UMBRELLA,Long-Tail,2.5,87,1044.0,Overstock Risk,Overstock Review / Reduce Replenishment
90003D,CRYSTAL PAIR HEART HAIR SLIDES,Long-Tail,3.3333333333333335,116,1044.0,Overstock Risk,Overstock Review / Reduce Replenishment
23612,SET 10 MINICARDS CUTE SNOWMAN 17071,Long-Tail,2.5,87,1044.0,Overstock Risk,Overstock Review / Reduce Replenishment
85096,HILDA CANDY SPOT RABBIT,Long-Tail,3.125,107,1027.2,Overstock Risk,Overstock Review / Reduce Replenishment
90002D,FLOWER BURST SILVER RING CRYSTAL,Long-Tail,2.6,89,1026.923076923077,Overstock Risk,Overstock Review / Reduce Replenishment
90048,GREEN WITH METAL BAG CHARM,Long-Tail,3.0,102,1020.0,Overstock Risk,Overstock Review / Reduce Replenishment
85225,BLING KEY RING STAND,Long-Tail,3.0,102,1020.0,Overstock Risk,Overstock Review / Reduce Replenishment
84795C,OCEAN STRIPE HAMMOCK,Long-Tail,2.0,68,1020.0,Overstock Risk,Overstock Review / Reduce Replenishment
84086B,YELLOW/BLUE RETRO RADIO,Long-Tail,2.6666666666666665,90,1012.5000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
35443,RASTA IN BATH W SPLIFF ASHTRAY,Long-Tail,1.3333333333333333,45,1012.5000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
90014C,SILVER/BLACK ORBIT NECKLACE,Long-Tail,1.6666666666666667,56,1007.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
23640,SET 10 CARDS SCOTTIE DOG 17211,Long-Tail,3.0,100,1000.0,Overstock Risk,Overstock Review / Reduce Replenishment
84462,3 PINK HEN+CHICKS IN BASKET,Long-Tail,3.0,100,1000.0,Overstock Risk,Overstock Review / Reduce Replenishment
23620,SET 10 CARDS PERFECT POST 17090,Long-Tail,3.3333333333333335,111,998.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
90081C,LILY BROOCH OLIVE COLOUR,Long-Tail,2.2222222222222223,74,998.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
90187B,GREEN DROP EARRINGS W BEAD CLUSTER,Long-Tail,1.7142857142857142,57,997.5,Overstock Risk,Overstock Review / Reduce Replenishment
90202C,GREEN ENAMEL FLOWER HAIR TIE,Long-Tail,2.5,83,996.0,Overstock Risk,Overstock Review / Reduce Replenishment
23625,SET 6 CARDS SPARKLY REINDEER 17262,Long-Tail,2.25,74,986.6666666666667,Overstock Risk,Overstock Review / Reduce Replenishment
90144,SILVER DROP EARRINGS WITH FLOWER,Long-Tail,2.0,65,975.0,Overstock Risk,Overstock Review / Reduce Replenishment
90194,SILVER LARIAT BLACK STONE EARRINGS,Long-Tail,2.6666666666666665,86,967.5000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
90175A,WHITE GLASS CHUNKY CHARM BRACELET,Long-Tail,2.4545454545454546,79,965.5555555555555,Overstock Risk,Overstock Review / Reduce Replenishment
90120D,WHITE MURANO TWIST BRACELET,Long-Tail,3.3333333333333335,107,962.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
72803b,OCEAN SCENT CANDLE JEWELLED DRAWER,Long-Tail,1.0,32,960.0,Overstock Risk,Overstock Review / Reduce Replenishment
90142D,MOP PENDANT SHELL NECKLACE,Long-Tail,3.3333333333333335,106,953.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Long-Tail,3.5,111,951.4285714285714,Overstock Risk,Overstock Review / Reduce Replenishment
90141E,ORANGE PENDANT TRIPLE SHELL NECKLAC,Long-Tail,2.5,79,948.0,Overstock Risk,Overstock Review / Reduce Replenishment
90075,MONTANA DIAMOND CLUSTER NECKLACE,Long-Tail,2.0,63,945.0,Overstock Risk,Overstock Review / Reduce Replenishment
90035C,"PEARL & SHELL 42""NECKL. IVORY",Long-Tail,2.0,63,945.0,Overstock Risk,Overstock Review / Reduce Replenishment
90067B,BROWN VINTAGE VICTORIAN EARRINGS,Long-Tail,2.0,63,945.0,Overstock Risk,Overstock Review / Reduce Replenishment
85115B,S/4 BLACK DISCO PARTITION PANEL,Long-Tail,3.0,94,940.0,Overstock Risk,Overstock Review / Reduce Replenishment
23574,PACKING CHARGE,Long-Tail,2.3333333333333335,73,938.5714285714286,Overstock Risk,Overstock Review / Reduce Replenishment
23621,SET 10 CARDS DAVID'S MADONNA 17074,Long-Tail,3.0,93,930.0,Overstock Risk,Overstock Review / Reduce Replenishment
21595,DAD'S CAB ELECTRONIC METER,Long-Tail,2.0,62,930.0,Overstock Risk,Overstock Review / Reduce Replenishment
90013D,PURPLE VINTAGE EARRINGS,Long-Tail,2.0,62,930.0,Overstock Risk,Overstock Review / Reduce Replenishment
90158,ST TROPEZ NECKLACE,Long-Tail,3.75,116,928.0,Overstock Risk,Overstock Review / Reduce Replenishment
90162B,ANT SILVER LIME GREEN BOUDICCA RING,Long-Tail,3.857142857142857,119,925.5555555555554,Overstock Risk,Overstock Review / Reduce Replenishment
90195B,BLACK GEMSTONE BRACELET,Long-Tail,1.3333333333333333,41,922.5000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
90199B,5 STRAND GLASS NECKLACE AMETHYST,Long-Tail,2.25,69,920.0,Overstock Risk,Overstock Review / Reduce Replenishment
84795b,SUNSET CHECK HAMMOCK,Long-Tail,1.7777777777777777,54,911.2500000000001,Overstock Risk,Overstock Review / Reduce Replenishment
90036F,"FLOWER GLASS GARLD NECKL36""TURQUOIS",Long-Tail,2.6666666666666665,81,911.2500000000001,Overstock Risk,Overstock Review / Reduce Replenishment
90060D,FIRE POLISHED GLASS NECKL BRONZE,Long-Tail,3.0,91,910.0,Overstock Risk,Overstock Review / Reduce Replenishment
21375,LARGE CAMPHOR WOOD FIELD MUSHROOM,Long-Tail,3.1538461538461537,95,903.6585365853658,Overstock Risk,Overstock Review / Reduce Replenishment
90188,DROP EARRINGS W FLOWER & LEAF,Long-Tail,1.5,45,900.0,Overstock Risk,Overstock Review / Reduce Replenishment
90011C,GREEN CRYSTAL DROP EARRINGS,Long-Tail,1.0,30,900.0,Overstock Risk,Overstock Review / Reduce Replenishment
21310,CAPIZ CHANDELIER,Long-Tail,1.0,30,900.0,Overstock Risk,Overstock Review / Reduce Replenishment
84660c,PINK STITCHED WALL CLOCK,Long-Tail,2.25,67,893.3333333333334,Overstock Risk,Overstock Review / Reduce Replenishment
84802A,WHITE ANEMONE ARTIFICIAL FLOWER,Long-Tail,2.0,59,885.0,Overstock Risk,Overstock Review / Reduce Replenishment
82613b,"METAL SIGN,CUPCAKE SINGLE HOOK",Long-Tail,1.3333333333333333,39,877.5000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
84706F,RED PEONY TABLE CLOCK,Long-Tail,4.0,117,877.5,Overstock Risk,Overstock Review / Reduce Replenishment
90214P,"LETTER ""P"" BLING KEY RING",Long-Tail,3.9,114,876.9230769230769,Overstock Risk,Overstock Review / Reduce Replenishment
90018C,SILVER BLACK ORBIT DROP EARRINGS,Long-Tail,2.4,70,875.0,Overstock Risk,Overstock Review / Reduce Replenishment
84990,60 GOLD AND SILVER FAIRY CAKE CASES,Long-Tail,1.0,29,870.0,Overstock Risk,Overstock Review / Reduce Replenishment
84661b,BLACK SQUARE TABLE CLOCK,Long-Tail,1.0,29,870.0,Overstock Risk,Overstock Review / Reduce Replenishment
90211A,DIAMOND LAS VEGAS NECKLACE 45CM,Long-Tail,3.0,87,870.0,Overstock Risk,Overstock Review / Reduce Replenishment
84743C,ORANGE FELT VASE + FLOWERS,Long-Tail,1.0,29,870.0,Overstock Risk,Overstock Review / Reduce Replenishment
20820,SILVER LOOKING MIRROR,Long-Tail,2.5,72,864.0,Overstock Risk,Overstock Review / Reduce Replenishment
35591T,TURQUOISE CHRISTMAS TREE,Long-Tail,1.6666666666666667,48,863.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
84968e,SET OF 16 VINTAGE BLACK CUTLERY,Long-Tail,1.6,46,862.5,Overstock Risk,Overstock Review / Reduce Replenishment
90177D,DROP DIAMANTE EARRINGS PURPLE,Long-Tail,2.7777777777777777,79,853.2,Overstock Risk,Overstock Review / Reduce Replenishment
90214Z,"LETTER ""Z"" BLING KEY RING",Long-Tail,2.75,78,850.909090909091,Overstock Risk,Overstock Review / Reduce Replenishment
84247K,"FOLK ART GREETING CARD,PACK/12",Long-Tail,3.142857142857143,89,849.5454545454545,Overstock Risk,Overstock Review / Reduce Replenishment
84842,HELLO SAILOR BATHROOM SET,Long-Tail,3.5,99,848.5714285714286,Overstock Risk,Overstock Review / Reduce Replenishment
90038A,GLASS AND PAINTED BEADS BRACELET TO,Long-Tail,1.875,53,848.0,Overstock Risk,Overstock Review / Reduce Replenishment
90206C,CRYSTAL DIAMANTE STAR BROOCH,Long-Tail,4.090909090909091,115,843.3333333333334,Overstock Risk,Overstock Review / Reduce Replenishment
23608,SET 10 CARDS RUDOLPHS NOSE 17097,Long-Tail,2.0,56,840.0,Overstock Risk,Overstock Review / Reduce Replenishment
23630,SET 10 CARDS HANGING BAUBLES 17080,Long-Tail,1.0,28,840.0,Overstock Risk,Overstock Review / Reduce Replenishment
90174,BUTTERFLY HAIR BAND,Long-Tail,4.222222222222222,117,831.3157894736842,Overstock Risk,Overstock Review / Reduce Replenishment
85224,ASSORTED COLOUR SILK GLASSES CASE,Long-Tail,3.0,83,830.0,Overstock Risk,Overstock Review / Reduce Replenishment
90130B,TURQ STONE/CRYSTAL EARRINGS,Long-Tail,3.25,89,821.5384615384615,Overstock Risk,Overstock Review / Reduce Replenishment
23601,SET 10 CARDS SNOWY SNOWDROPS  17100,Long-Tail,4.0,109,817.5,Overstock Risk,Overstock Review / Reduce Replenishment
90001A,ANTIQUE RASPBERRY FLOWER EARRINGS,Long-Tail,1.25,34,816.0,Overstock Risk,Overstock Review / Reduce Replenishment
16206B,RED PURSE WITH PINK HEART,Long-Tail,3.5,95,814.2857142857142,Overstock Risk,Overstock Review / Reduce Replenishment
90019C,SILVER BLACK ORBIT BRACELET,Long-Tail,1.625,44,812.3076923076923,Overstock Risk,Overstock Review / Reduce Replenishment
90214F,"LETTER ""F"" BLING KEY RING",Long-Tail,2.7,73,811.111111111111,Overstock Risk,Overstock Review / Reduce Replenishment
84596f,SMALL MARSHMALLOWS PINK BOWL,Long-Tail,2.6666666666666665,72,810.0000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
23646,SET 10 CARDS JINGLE BELLS 16957,Long-Tail,2.6666666666666665,72,810.0000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
84632,DECORATIVE HANGING SHELVING UNIT,Long-Tail,2.0,54,810.0,Overstock Risk,Overstock Review / Reduce Replenishment
90089,PINK CRYSTAL SKULL PHONE CHARM,Long-Tail,3.3333333333333335,90,810.0,Overstock Risk,Overstock Review / Reduce Replenishment
22761,CHEST 7 DRAWER MA CAMPAGNE,Long-Tail,3.0,81,810.0,Overstock Risk,Overstock Review / Reduce Replenishment
90160B,RED BOUDICCA LARGE BRACELET,Long-Tail,3.75,101,808.0,Overstock Risk,Overstock Review / Reduce Replenishment
47586A,PINK FAIRY CAKE CUSHION COVER,Long-Tail,3.0,80,800.0,Overstock Risk,Overstock Review / Reduce Replenishment
21681,GIANT MEDINA STAMPED METAL BOWL,Long-Tail,2.0,53,795.0,Overstock Risk,Overstock Review / Reduce Replenishment
90069,RUBY GLASS CLUSTER NECKLACE,Long-Tail,2.0,53,795.0,Overstock Risk,Overstock Review / Reduce Replenishment
90049,IVORY GOLD METAL BAG CHARM,Long-Tail,1.6666666666666667,44,792.0,Overstock Risk,Overstock Review / Reduce Replenishment
90040C,MURANO STYLE GLASS BRACELET GOLD,Long-Tail,3.0,79,790.0,Overstock Risk,Overstock Review / Reduce Replenishment
84968d,SET OF 16 VINTAGE RED CUTLERY,Long-Tail,1.0,26,780.0,Overstock Risk,Overstock Review / Reduce Replenishment
84660b,BLACK STITCHED WALL CLOCK,Long-Tail,1.0,26,780.0,Overstock Risk,Overstock Review / Reduce Replenishment
90187A,BLUE DROP EARRINGS W BEAD CLUSTER,Long-Tail,1.0,26,780.0,Overstock Risk,Overstock Review / Reduce Replenishment
44265,M/COLOUR POM-POM CURTAIN,Long-Tail,2.0,52,780.0,Overstock Risk,Overstock Review / Reduce Replenishment
90199A,5 STRAND GLASS NECKLACE BLACK,Long-Tail,2.2,57,777.2727272727273,Overstock Risk,Overstock Review / Reduce Replenishment
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE,Long-Tail,2.625,68,777.1428571428572,Overstock Risk,Overstock Review / Reduce Replenishment
20697,LITTLE GREEN MONSTER SOFT TOY,Long-Tail,3.1666666666666665,82,776.8421052631579,Overstock Risk,Overstock Review / Reduce Replenishment
79323P,PINK CHERRY LIGHTS,Long-Tail,4.0,103,772.5,Overstock Risk,Overstock Review / Reduce Replenishment
90163B,WHITE ROSEBUD & PEARL NECKLACE,Long-Tail,1.75,45,771.4285714285714,Overstock Risk,Overstock Review / Reduce Replenishment
90177A,CLASSIC DIAMANTE EARRINGS JET,Long-Tail,1.5555555555555556,40,771.4285714285714,Overstock Risk,Overstock Review / Reduce Replenishment
37489B,BLUE/YELLOW FLOWER DESIGN BIG MUG,Long-Tail,3.875,99,766.4516129032257,Overstock Risk,Overstock Review / Reduce Replenishment
90122C,TURQUOISE CRYSTAL+GLASS BRACELET,Long-Tail,2.6666666666666665,68,765.0000000000001,Overstock Risk,Overstock Review / Reduce Replenishment
90012A,MIDNIGHT BLUE DROP CRYSTAL NECKLACE,Long-Tail,2.75,70,763.6363636363637,Overstock Risk,Overstock Review / Reduce Replenishment
90129D,AMBER GLASS TASSLE BAG CHARM,Long-Tail,3.5,89,762.8571428571429,Overstock Risk,Overstock Review / Reduce Replenishment
90212B,JET BLACK LAS VEGAS BRACELET ROUND,Long-Tail,2.5,63,756.0,Overstock Risk,Overstock Review / Reduce Replenishment
90070,RUBY GLASS CLUSTER BRACELET,Long-Tail,2.0,50,750.0,Overstock Risk,Overstock Review / Reduce Replenishment
90012B,BLACK DROP CRYSTAL NECKLACE,Long-Tail,4.333333333333333,108,747.6923076923077,Overstock Risk,Overstock Review / Reduce Replenishment
90129C,GREEN GLASS TASSLE BAG CHARM,Long-Tail,4.375,109,747.4285714285713,Overstock Risk,Overstock Review / Reduce Replenishment
44089A,PINK GAUZE BUTTERFLY LAMPSHADE,Long-Tail,3.75,93,744.0,Overstock Risk,Overstock Review / Reduce Replenishment
84993a,75 GREEN PETIT FOUR CASES,Long-Tail,2.909090909090909,72,742.5,Overstock Risk,Overstock Review / Reduce Replenishment
90179A,AMBER FINE BEAD NECKLACE W TASSEL,Long-Tail,1.5,37,740.0,Overstock Risk,Overstock Review / Reduce Replenishment
84558a,3D DOG PICTURE PLAYING CARDS,Long-Tail,1.6666666666666667,41,738.0,Overstock Risk,Overstock Review / Reduce Replenishment
90036E,"FLOWER GLASS GARLD NECKL36""AMETHYST",Long-Tail,1.75,43,737.1428571428571,Overstock Risk,Overstock Review / Reduce Replenishment
20678,LARGE BLACK DIAMANTE HAIRSLIDE,Long-Tail,4.0,98,735.0,Overstock Risk,Overstock Review / Reduce Replenishment
23619,SET 10 CARDS POINSETTIA 17093,Long-Tail,2.0,49,735.0,Overstock Risk,Overstock Review / Reduce Replenishment
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,Long-Tail,2.142857142857143,52,728.0,Overstock Risk,Overstock Review / Reduce Replenishment
84859B,BLUE DISCO HANDBAG,Long-Tail,3.875,94,727.7419354838709,Overstock Risk,Overstock Review / Reduce Replenishment
90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,Long-Tail,2.909090909090909,70,721.875,Overstock Risk,Overstock Review / Reduce Replenishment
20698,LITTLE PINK MONSTER SOFT TOY,Long-Tail,4.25,102,720.0,Overstock Risk,Overstock Review / Reduce Replenishment
gift_0001_20,DOTCOMGIFTSHOP GIFT VOUCHER £20.00,Long-Tail,1.6666666666666667,40,720.0,Overstock Risk,Overstock Review / Reduce Replenishment
90122A,PINK CRYSTAL+GLASS BRACELET,Long-Tail,2.625,63,720.0,Overstock Risk,Overstock Review / Reduce Replenishment
90026B,GLASS BEAD HOOP NECKLACE MONTANA,Long-Tail,1.5,36,720.0,Overstock Risk,Overstock Review / Reduce Replenishment
90126C,AMBER BERTIE MOBILE PHONE CHARM,Long-Tail,2.0,48,720.0,Overstock Risk,Overstock Review / Reduce Replenishment
21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL,Long-Tail,3.0,72,720.0,Overstock Risk,Overstock Review / Reduce Replenishment
84559a,3D SHEET OF DOG STICKERS,Long-Tail,4.833333333333333,115,713.7931034482759,Overstock Risk,Overstock Review / Reduce Replenishment
90164B,WHITE  ROSEBUD PEARL BRACELET,Long-Tail,4.75,113,713.6842105263158,Overstock Risk,Overstock Review / Reduce Replenishment
21420,OYSTER TRINKET BOX,Long-Tail,4.416666666666667,105,713.2075471698113,Overstock Risk,Overstock Review / Reduce Replenishment
90163A,PINK ROSEBUD & PEARL NECKLACE,Long-Tail,2.4,57,712.5,Overstock Risk,Overstock Review / Reduce Replenishment
84559b,3D SHEET OF CAT STICKERS,Long-Tail,2.875,68,709.5652173913043,Overstock Risk,Overstock Review / Reduce Replenishment
84358,FLOOR LAMP SHADE WOOD BASE,Long-Tail,4.125,97,705.4545454545454,Overstock Risk,Overstock Review / Reduce Replenishment
20818,GOLD TEDDY BEAR,Long-Tail,5.0,117,702.0,Overstock Risk,Overstock Review / Reduce Replenishment
90183C,BLACK DROP EARRINGS W LONG BEADS,Long-Tail,1.8,42,700.0,Overstock Risk,Overstock Review / Reduce Replenishment
90202D,PINK ENAMEL FLOWER HAIR TIE,Long-Tail,2.75,64,698.1818181818182,Overstock Risk,Overstock Review / Reduce Replenishment
90205A,LARGE MINT DIAMANTE HAIRSLIDE,Long-Tail,3.4444444444444446,80,696.774193548387,Overstock Risk,Overstock Review / Reduce Replenishment
90059D,DIAMANTE HAIR GRIP PACK/2 PERIDOT,Long-Tail,2.5,58,696.0,Overstock Risk,Overstock Review / Reduce Replenishment
84975,HEART SHAPED MIRROR,Long-Tail,5.0,116,696.0,Overstock Risk,Overstock Review / Reduce Replenishment
10123C,HEARTS WRAPPING TAPE,Long-Tail,2.5,58,696.0,Overstock Risk,Overstock Review / Reduce Replenishment
21269,ANTIQUE CREAM CUTLERY SHELF,Long-Tail,2.9,67,693.1034482758621,Overstock Risk,Overstock Review / Reduce Replenishment
90195A,PURPLE GEMSTONE BRACELET,Long-Tail,3.1666666666666665,73,691.578947368421,Overstock Risk,Overstock Review / Reduce Replenishment
90082B,DIAMANTE BOW BROOCH RED COLOUR,Long-Tail,4.166666666666667,96,691.1999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
90141A,GREEN PENDANT TRIPLE SHELL NECKLACE,Long-Tail,2.0,46,690.0,Overstock Risk,Overstock Review / Reduce Replenishment
84974,S/2 ZINC HEART DESIGN PLANTERS,Long-Tail,3.5454545454545454,81,685.3846153846154,Overstock Risk,Overstock Review / Reduce Replenishment
90036C,"FLOWER GLASS GARLAND NECKL.36""BLUE",Long-Tail,1.8,41,683.3333333333333,Overstock Risk,Overstock Review / Reduce Replenishment
20964,POLYESTER FILLER PAD 60X40CM,Long-Tail,2.0,45,675.0,Overstock Risk,Overstock Review / Reduce Replenishment
90152B,BLUE/GREEN SHELL NECKLACE W PENDANT,Long-Tail,2.0,45,675.0,Overstock Risk,Overstock Review / Reduce Replenishment
84596g,SMALL CHOCOLATES PINK BOWL,Long-Tail,3.0,67,670.0,Overstock Risk,Overstock Review / Reduce Replenishment
90016B,GOLD/M.O.P PENDANT ORBIT NECKLACE,Long-Tail,2.2,49,668.1818181818181,Overstock Risk,Overstock Review / Reduce Replenishment
20933,YELLOW POT PLANT CANDLE,Long-Tail,3.8333333333333335,85,665.2173913043478,Overstock Risk,Overstock Review / Reduce Replenishment
16162L,THE KING GIFT BAG,Long-Tail,4.0,88,660.0,Overstock Risk,Overstock Review / Reduce Replenishment
85126,LARGE ROUND CUTGLASS CANDLESTICK,Long-Tail,2.0,44,660.0,Overstock Risk,Overstock Review / Reduce Replenishment
90118,PINK DAISY BAG CHARM,Long-Tail,3.0,66,660.0,Overstock Risk,Overstock Review / Reduce Replenishment
20847,ZINC HEART LATTICE CHARGER LARGE,Long-Tail,4.7272727272727275,104,659.9999999999999,Overstock Risk,Overstock Review / Reduce Replenishment
72351a,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,Long-Tail,2.142857142857143,47,658.0,Overstock Risk,Overstock Review / Reduce Replenishment
84033,FLAG OF ST GEORGE,Long-Tail,3.8333333333333335,84,657.391304347826,Overstock Risk,Overstock Review / Reduce Replenishment
85189,HANGING BUTTERFLY  EGG,Long-Tail,4.5,98,653.3333333333334,Overstock Risk,Overstock Review / Reduce Replenishment
62074B,ELEPHANT CLIP W SUCTION CUP,Long-Tail,4.0,87,652.5,Overstock Risk,Overstock Review / Reduce Replenishment
